,Collins,Ankrah,collins.ankrah@gmail.com,32250170a0dca92d53ec9624f336ca24,02431234567,5,7,27-07-2023
,Mercy,Danquah,mercy.danquah@gmail.com,32250170a0dca92d53ec9624f336ca24,02431234568,6,9,28-07-2023
,Michael,Awuah,michael.awuah@gmail.com,32250170a0dca92d53ec9624f336ca24,02431234569,6,10,29-07-2023
,Ekow,Akufo,ekow.akufo@gmail.com,32250170a0dca92d53ec9624f336ca24,02431234570,7,11,30-07-2023
,Justice,Nyantakyi,justice.nyantakyi@gmail.com,32250170a0dca92d53ec9624f336ca24,02431234571,7,12,31-07-2023
,Rita,Appiah,rita.appiah@gmail.com,32250170a0dca92d53ec9624f336ca24,02431234572,8,14,01-08-2023
,Mary,Quansah,mary.quansah@gmail.com,32250170a0dca92d53ec9624f336ca24,02431234573,9,15,02-08-2023
,Christian,Appiah,christian.appiah@gmail.com,32250170a0dca92d53ec9624f336ca24,02431234574,9,16,03-08-2023
,Godfrey,Kodjoe,godfrey.kodjoe@gmail.com,32250170a0dca92d53ec9624f336ca24,02431234575,10,17,04-08-2023
,Thomas,Nduom,thomas.nduom@gmail.com,32250170a0dca92d53ec9624f336ca24,02431234576,10,18,05-08-2023
